metric,condition,n,median,q25,q75,mean
donor_correlation_all_mean,ALL,4880,0.11070103904076535,0.057182506661068194,0.17565692596794652,0.1258866743880596
donor_correlation_all_mean,Rest,1584,0.106452802491617,0.052002145888845774,0.16926616101533537,0.11670583437638757
donor_correlation_all_mean,Stim8hr,1694,0.11229317887276614,0.0562957800761104,0.18196747348980868,0.13049128392498677
donor_correlation_all_mean,Stim48hr,1602,0.11411650964323256,0.06422196058620064,0.17760531549769198,0.13009531485181353
donor_correlation_hits_mean,ALL,4880,0.7309297865046485,0.5573239390753463,0.8101270524396149,0.6320431866776417
donor_correlation_hits_mean,Rest,1584,0.7047121740551985,0.49750271791076733,0.7982166128840685,0.5929010459409284
donor_correlation_hits_mean,Stim8hr,1694,0.7245189414422539,0.5272754180904987,0.8101896709725988,0.6199276207647157
donor_correlation_hits_mean,Stim48hr,1602,0.7574727425072433,0.6382442375293833,0.8186187153254664,0.6835568693140028
donor_correlation_hits_min,ALL,4880,0.675531672689035,0.4556916682851747,0.7746397998459307,0.5597590162735486
donor_correlation_hits_min,Rest,1584,0.6318313478228226,0.3751329825098928,0.7593528334477145,0.5114922840378279
donor_correlation_hits_min,Stim8hr,1694,0.6699790938920278,0.42622515786749127,0.7765593261872018,0.5511072207100949
donor_correlation_hits_min,Stim48hr,1602,0.7081938637199536,0.5448846023989186,0.7845412505990802,0.6166320784120456
guide_correlation_all,ALL,26040,0.06475843790406,0.024672721043368474,0.1074584030215407,0.07022813439231534
guide_correlation_all,Rest,8323,0.0616957562373618,0.01578195939973455,0.1135889895904029,0.06792285876323005
guide_correlation_all,Stim8hr,8998,0.07147699939043556,0.03330811492851697,0.111989160484425,0.07690898006007897
guide_correlation_all,Stim48hr,8719,0.0606713513519776,0.02474146007768865,0.0984137412056976,0.06553408229257221
guide_correlation_signif,ALL,16147,0.6212400196001509,0.0803159868032974,0.9790166491672183,0.4235412344262093
guide_correlation_signif,Rest,5078,0.5998989369360208,0.050990774420494274,0.9767588263680463,0.4089782647010959
guide_correlation_signif,Stim8hr,5599,0.6218951756299822,0.0852773146585796,0.9764893898076582,0.4292792478103253
guide_correlation_signif,Stim48hr,5470,0.6428890272452723,0.0996939023732173,0.9829993898852798,0.4311872350343373
