embedding,train,test,reliability_spearman,ci_lo,ci_hi,n_test
geneformer,gladstone,gladstone,0.019702659597269575,,,11484
geneformer,gladstone,replogle,0.12136435748281332,-0.09482233836979848,0.30914688546381125,123
geneformer,gladstone,norman,-0.028573708995131303,-0.28783861565328484,0.22362715690328108,67
geneformer,gladstone,adamson,-0.26294564582115726,-0.5217307973664961,0.007769375844850329,59
geneformer,replogle,gladstone,0.015312675408904743,-0.0036173133906154693,0.033588263113115545,11484
geneformer,replogle,replogle,0.3102331008200918,,,123
geneformer,replogle,norman,0.00015962965919067766,-0.22823283117826074,0.20527771839296804,67
geneformer,replogle,adamson,-0.16393921683226184,-0.38944555013953874,0.10712357160704541,59
geneformer,norman,gladstone,0.000629221033710917,-0.018353303883490008,0.0180019555923212,11484
geneformer,norman,replogle,0.08535940462524669,-0.10811740485861344,0.27047321316431583,123
geneformer,norman,norman,-0.08092691622103386,,,67
geneformer,norman,adamson,0.22781998831092934,-0.04432250012308214,0.47457989833971537,59
geneformer,adamson,gladstone,0.016126086635396573,-0.002692958443170753,0.0343391762079418,11484
geneformer,adamson,replogle,-0.013820278340276793,-0.19332861988903147,0.16219976138703715,123
geneformer,adamson,norman,0.22938782025700377,-0.015934366859535053,0.4372449513368155,67
geneformer,adamson,adamson,-0.08446421950315164,,,59
scgpt,gladstone,gladstone,0.020001282435120712,,,11400
scgpt,gladstone,replogle,0.055465450991470044,-0.19457914541153284,0.2909520242635382,59
scgpt,gladstone,norman,-0.05563186813186813,-0.32459241511167614,0.23550125641913489,64
scgpt,gladstone,adamson,-0.1544804257627731,-0.4430972193315039,0.15362039545419406,44
scgpt,replogle,gladstone,0.005627669536750466,-0.012061463643941658,0.0234286415827565,11400
scgpt,replogle,replogle,0.3398591027067112,,,59
scgpt,replogle,norman,0.10723443223443221,-0.1332014450224591,0.34461469953220486,64
scgpt,replogle,adamson,0.07329105003523607,-0.21302813634265172,0.3496625292388095,44
scgpt,norman,gladstone,0.0028519507112257474,-0.01629538122893658,0.021103837738162535,11400
scgpt,norman,replogle,-0.06499123319696086,-0.3099028653777831,0.18570046300485205,59
scgpt,norman,norman,-0.11009286412512219,,,64
scgpt,norman,adamson,0.008033826638477801,-0.30268341023733636,0.3484197894776466,44
scgpt,adamson,gladstone,-0.00966148835413661,-0.027333252667018523,0.009305618961445772,11400
scgpt,adamson,replogle,-0.16621858562244304,-0.4029983404879695,0.08581254438368387,59
scgpt,adamson,norman,-0.07202380952380952,-0.30615548242760354,0.1727594509380744,64
scgpt,adamson,adamson,0.06681724073028422,,,44
gene2vec,gladstone,gladstone,0.014138043194749825,,,10677
gene2vec,gladstone,replogle,-0.04450645418458937,-0.2836376849908576,0.223185867272206,59
gene2vec,gladstone,norman,0.2703484178729538,0.03128914796251853,0.5044289630249539,64
gene2vec,gladstone,adamson,-0.06596189134507222,-0.37256608639230077,0.2585240611173383,44
gene2vec,replogle,gladstone,0.0075536634802612634,-0.012537419858047412,0.025794845596282177,10677
gene2vec,replogle,replogle,0.12880978865406006,,,59
gene2vec,replogle,norman,0.005082417582417583,-0.2341241031080237,0.24666662827764924,64
gene2vec,replogle,adamson,0.07413671599718111,-0.2506044109878377,0.3675349592873784,44
gene2vec,norman,gladstone,0.004698584541347372,-0.01396303535671844,0.02356253813830406,10677
gene2vec,norman,replogle,0.09807130333138517,-0.1986583418648556,0.36123480620535836,59
gene2vec,norman,norman,0.08443304007820136,,,64
gene2vec,norman,adamson,-0.1905567300916138,-0.4477153998086028,0.09285408008073506,44
gene2vec,adamson,gladstone,-0.0023832816385198773,-0.02078911151268233,0.017328979125393957,10677
gene2vec,adamson,replogle,-0.21636469900642902,-0.4483565009162554,0.05865329102100581,59
gene2vec,adamson,norman,0.11011904761904759,-0.15366120957801563,0.35930934395012226,64
gene2vec,adamson,adamson,-0.2316958403914926,,,44
