seed,fraction,n_train_genes,spearman,aurc,aurc_oracle,aurc_noselect
42,0.1,1137,0.10584064314494986,0.8727737864169897,0.8195377518145461,0.8810297550912144
42,0.2,2274,0.10443724863738463,0.8728052964633976,0.8195377518145461,0.8810297550912144
42,0.35,3980,0.11551446128840312,0.8726498024546905,0.8195377518145461,0.8810297550912144
42,0.5,5686,0.12205900584773065,0.871949416369618,0.8195377518145461,0.8810297550912144
42,0.75,8528,0.12845589505103971,0.8714427991176721,0.8195377518145461,0.8810297550912144
42,1.0,11371,0.13609274219956044,0.8708071806977707,0.8195377518145461,0.8810297550912144
43,0.1,1137,0.08922009290421583,0.87403206124867,0.8194923250969829,0.8810078667056577
43,0.2,2274,0.10555773100464919,0.8730842394257193,0.8194923250969829,0.8810078667056577
43,0.35,3980,0.10837307165839724,0.8726163265358241,0.8194923250969829,0.8810078667056577
43,0.5,5686,0.11792892151140777,0.8720873788815519,0.8194923250969829,0.8810078667056577
43,0.75,8528,0.11828517040690466,0.871613960593964,0.8194923250969829,0.8810078667056577
43,1.0,11371,0.12664112660854493,0.8713072074002873,0.8194923250969829,0.8810078667056577
44,0.1,1137,0.10532602246232219,0.8729959864127067,0.8195227790417426,0.8810228325074073
44,0.2,2274,0.10140515412974367,0.8731577798145096,0.8195227790417426,0.8810228325074073
44,0.35,3980,0.1204951860327966,0.871415392466918,0.8195227790417426,0.8810228325074073
44,0.5,5686,0.11988128309459502,0.8718833947827876,0.8195227790417426,0.8810228325074073
44,0.75,8528,0.1280059980726158,0.8713436537311247,0.8195227790417426,0.8810228325074073
44,1.0,11371,0.13144912872599776,0.8711076409587235,0.8195227790417426,0.8810228325074073
