estimator,seed,n,err_best_fixed,err_routed,err_oracle,routed_minus_bestfixed,r,frac_better
xgb_standard,42,88,0.5261479988694191,0.5315836722200568,0.4408171054991809,0.00543567335063766,0.19158066523428788,0.4425
xgb_standard,43,88,0.5452012155543674,0.5623362911018458,0.4600654522126371,0.017135075547478396,0.1542977234569641,0.3195
xgb_standard,44,88,0.5314544554461132,0.5573798919265921,0.4372486519542607,0.025925436480478847,0.29937304075235116,0.2535
xgb_shallow,42,88,0.5261479988694191,0.5456350587985732,0.4408171054991809,0.019487059929154116,0.2534077700679793,0.2905
xgb_shallow,43,88,0.5452012155543674,0.5703486949205399,0.4600654522126371,0.025147479366172454,0.21321310744015123,0.257
xgb_shallow,44,88,0.5314544554461132,0.5695488825440407,0.4372486519542607,0.03809442709792743,0.28394561656863093,0.1725
ridge,42,88,0.5261479988694191,0.5927328799258579,0.4408171054991809,0.06658488105643878,0.11269416364340812,0.038
ridge,43,88,0.5452012155543674,0.5955366668376055,0.4600654522126371,0.05033545128323813,0.20731922087985635,0.099
ridge,44,88,0.5314544554461132,0.6272320002317429,0.4372486519542607,0.09577754478562961,0.169854296549376,0.0055
rf_shallow,42,88,0.5261479988694191,0.532744241709059,0.4408171054991809,0.0065962428396398876,0.18667300670400247,0.4185
rf_shallow,43,88,0.5452012155543674,0.5727534666657448,0.4600654522126371,0.02755225111137738,0.14772874032850788,0.2375
rf_shallow,44,88,0.5314544554461132,0.5323433347723701,0.4372486519542607,0.0008888793262568084,0.320283423150529,0.5055
knn_feat,42,88,0.5261479988694191,0.5876282792199742,0.4408171054991809,0.06148028035055508,0.17994552264215188,0.061
knn_feat,43,88,0.5452012155543674,0.6127784556963227,0.4600654522126371,0.06757724014195532,0.12740539842438334,0.046
knn_feat,44,88,0.5314544554461132,0.6012728024612773,0.4372486519542607,0.0698183470151641,0.21191574794829351,0.049
ORACLE_true_error,42,88,0.5261479988694191,0.4408171054991809,0.4408171054991809,-0.08533089337023819,1.0,0.997
ORACLE_true_error,43,88,0.5452012155543674,0.4600654522126371,0.4600654522126371,-0.08513576334173029,1.0,0.994
ORACLE_true_error,44,88,0.5314544554461132,0.4372486519542607,0.4372486519542607,-0.09420580349185254,1.0,0.999
