geometry,rho,mu_amp,K,r,frac_captured,first_order_frac
Adamson-like,0.462,0.28,3,0.0,-0.7391849383676042,0.0
Adamson-like,0.462,0.28,3,0.049999999999999996,-0.6611646776480355,0.049999999999999996
Adamson-like,0.462,0.28,3,0.09999999999999999,-0.5943720882486572,0.09999999999999999
Adamson-like,0.462,0.28,3,0.15,-0.5229833116024519,0.15
Adamson-like,0.462,0.28,3,0.19999999999999998,-0.4493282193244152,0.19999999999999998
Adamson-like,0.462,0.28,3,0.24999999999999997,-0.40459463381021205,0.24999999999999997
Adamson-like,0.462,0.28,3,0.3,-0.3197037225413503,0.3
Adamson-like,0.462,0.28,3,0.35,-0.2567557224330812,0.35
Adamson-like,0.462,0.28,3,0.39999999999999997,-0.1820094243389522,0.39999999999999997
Adamson-like,0.462,0.28,3,0.44999999999999996,-0.09890126952741911,0.44999999999999996
Adamson-like,0.462,0.28,3,0.49999999999999994,-0.0277610713098314,0.49999999999999994
Adamson-like,0.462,0.28,3,0.5499999999999999,0.051511436782042765,0.5499999999999999
Adamson-like,0.462,0.28,3,0.6,0.1292725838296126,0.6
Adamson-like,0.462,0.28,3,0.6499999999999999,0.21984836869760094,0.6499999999999999
Adamson-like,0.462,0.28,3,0.7,0.3113125963466359,0.7
Adamson-like,0.462,0.28,3,0.7499999999999999,0.4031463688846058,0.7499999999999999
Adamson-like,0.462,0.28,3,0.7999999999999999,0.5046613879884645,0.7999999999999999
Adamson-like,0.462,0.28,3,0.85,0.6143782508037533,0.85
Adamson-like,0.462,0.28,3,0.8999999999999999,0.7326078298037061,0.8999999999999999
Adamson-like,0.462,0.28,3,0.95,0.8629222396630823,0.95
mid,0.8,0.28,6,0.0,-0.8098533109363567,0.0
mid,0.8,0.28,6,0.049999999999999996,-0.7742024597141248,0.049999999999999996
mid,0.8,0.28,6,0.09999999999999999,-0.7219494790390203,0.09999999999999999
mid,0.8,0.28,6,0.15,-0.6728754494372545,0.15
mid,0.8,0.28,6,0.19999999999999998,-0.6206788745938555,0.19999999999999998
mid,0.8,0.28,6,0.24999999999999997,-0.5833429923457704,0.24999999999999997
mid,0.8,0.28,6,0.3,-0.5482690641175848,0.3
mid,0.8,0.28,6,0.35,-0.4971630380741172,0.35
mid,0.8,0.28,6,0.39999999999999997,-0.43359660636680414,0.39999999999999997
mid,0.8,0.28,6,0.44999999999999996,-0.3718161435891765,0.44999999999999996
mid,0.8,0.28,6,0.49999999999999994,-0.3248528789177434,0.49999999999999994
mid,0.8,0.28,6,0.5499999999999999,-0.2523162604528673,0.5499999999999999
mid,0.8,0.28,6,0.6,-0.1894597569353197,0.6
mid,0.8,0.28,6,0.6499999999999999,-0.10888200603288894,0.6499999999999999
mid,0.8,0.28,6,0.7,-0.03814608023627164,0.7
mid,0.8,0.28,6,0.7499999999999999,0.06888828231936382,0.7499999999999999
mid,0.8,0.28,6,0.7999999999999999,0.1716669636447373,0.7999999999999999
mid,0.8,0.28,6,0.85,0.31145427036643597,0.85
mid,0.8,0.28,6,0.8999999999999999,0.4739592373835399,0.8999999999999999
mid,0.8,0.28,6,0.95,0.6914363258120576,0.95
Gladstone-like,0.919,0.09,10,0.0,-0.24944372101671017,0.0
Gladstone-like,0.919,0.09,10,0.049999999999999996,-0.22449845501738921,0.049999999999999996
Gladstone-like,0.919,0.09,10,0.09999999999999999,-0.21629542440917296,0.09999999999999999
Gladstone-like,0.919,0.09,10,0.15,-0.1966870347324671,0.15
Gladstone-like,0.919,0.09,10,0.19999999999999998,-0.17776790423174352,0.19999999999999998
Gladstone-like,0.919,0.09,10,0.24999999999999997,-0.15594723660091483,0.24999999999999997
Gladstone-like,0.919,0.09,10,0.3,-0.13904607748287245,0.3
Gladstone-like,0.919,0.09,10,0.35,-0.10913582211338259,0.35
Gladstone-like,0.919,0.09,10,0.39999999999999997,-0.09231246737567544,0.39999999999999997
Gladstone-like,0.919,0.09,10,0.44999999999999996,-0.06974741925828677,0.44999999999999996
Gladstone-like,0.919,0.09,10,0.49999999999999994,-0.04584066165488034,0.49999999999999994
Gladstone-like,0.919,0.09,10,0.5499999999999999,-0.014894003267800488,0.5499999999999999
Gladstone-like,0.919,0.09,10,0.6,0.01961043811282262,0.6
Gladstone-like,0.919,0.09,10,0.6499999999999999,0.04759644696828131,0.6499999999999999
Gladstone-like,0.919,0.09,10,0.7,0.09030838166429646,0.7
Gladstone-like,0.919,0.09,10,0.7499999999999999,0.1432482740546038,0.7499999999999999
Gladstone-like,0.919,0.09,10,0.7999999999999999,0.19808972805726507,0.7999999999999999
Gladstone-like,0.919,0.09,10,0.85,0.280414997971877,0.85
Gladstone-like,0.919,0.09,10,0.8999999999999999,0.3919781107436418,0.8999999999999999
Gladstone-like,0.919,0.09,10,0.95,0.5740491987305948,0.95
