dropped,N_eff_without,delta_N_eff
mean_global,1.1376767713863036,-0.023256887984429486
geneformer_knn,1.1467890811169033,-0.014144578253829865
scgpt_knn,1.1475497932878764,-0.013383866082856688
knn_coexpr_k25,1.1479028280551105,-0.01303083131562266
gene2vec_knn,1.1486875121535831,-0.012246147217150005
geneformer_ridge,1.165777777216582,0.004844117845848928
gene2vec_ridge,1.1692943309294215,0.00836067155868836
ridge_embed,1.1730405488434548,0.01210688947272165
scgpt_ridge,1.1750510237296812,0.014117364358948059
mean_condition,1.1761570661137,0.01522340674296685
