src,dst,ground_truth,metric,n_seeds,base_rate,n_reg_in_pool,val_pertema,val_magnitude,val_similarity,val_rand_gate,val_lshuf_gate,delta_pertema_minus_magnitude,delta_ci95,enrichment_pertema,p_perm_label,p_perm_magnitude_matched,p_perm_degree_matched
Rest,Stim48hr,functional,auroc,3,0.0034228067014952256,38.0,0.4307260151463257,0.54424655275209,0.22778673681673453,0.48728847154038385,0.5194094011239233,-0.11352053760576425,0.01443457141569333,,0.09590409590409589,0.08358308358308358,0.14085914085914086
Rest,Stim48hr,functional,prec@100,3,0.0034228067014952256,38.0,0.0,0.0,0.0,0.0033333333333333335,0.0033333333333333335,0.0,0.0,0.0,1.0,1.0,1.0
Rest,Stim48hr,functional,prec@25,3,0.0034228067014952256,38.0,0.0,0.0,0.0,0.013333333333333334,0.0,0.0,0.0,0.0,1.0,1.0,1.0
Rest,Stim48hr,functional,prec@50,3,0.0034228067014952256,38.0,0.0,0.0,0.0,0.006666666666666667,0.0,0.0,0.0,0.0,1.0,1.0,1.0
Rest,Stim48hr,pathway,auroc,3,0.022338317420284633,248.0,0.46112515380088803,0.5406716046410719,,0.48388756139652195,0.4928670813594314,-0.07954645084018382,0.012022157749677766,,0.005328005328005328,0.06793206793206794,0.00666000666000666
Rest,Stim48hr,pathway,prec@100,3,0.022338317420284633,248.0,0.013333333333333334,0.02,0.0,0.02666666666666667,0.02666666666666667,-0.006666666666666667,0.017285575232288658,0.5968817204301076,0.6976356976356977,0.6736596736596736,0.7032967032967034
Rest,Stim48hr,pathway,prec@25,3,0.022338317420284633,248.0,0.04,0.0,0.0,0.04,0.04,0.04,0.045264261104466665,1.7906451612903227,0.57009657009657,0.5754245754245755,0.5524475524475525
Rest,Stim48hr,pathway,prec@50,3,0.022338317420284633,248.0,0.02666666666666667,0.0,0.0,0.03333333333333333,0.02666666666666667,0.02666666666666667,0.034571150464577316,1.1937634408602151,0.5864135864135864,0.6043956043956044,0.612054612054612
Rest,Stim8hr,functional,auroc,3,0.003383492120024931,38.0,0.4847355254929067,0.5444278300504232,0.2277900034639444,0.484112485717107,0.487619533511703,-0.059692304557516375,0.010591702420341234,,0.3799533799533799,0.40359640359640364,0.4372294372294372
Rest,Stim8hr,functional,prec@100,3,0.003383492120024931,38.0,0.0033333333333333335,0.0,0.0,0.0,0.006666666666666667,0.0033333333333333335,0.006533333333333335,0.9851754385964911,0.8105228105228105,0.8145188145188146,0.8128538128538129
Rest,Stim8hr,functional,prec@25,3,0.003383492120024931,38.0,0.013333333333333334,0.0,0.0,0.0,0.013333333333333334,0.013333333333333334,0.02613333333333334,3.9407017543859646,0.717948717948718,0.7182817182817183,0.7089577089577089
Rest,Stim8hr,functional,prec@50,3,0.003383492120024931,38.0,0.006666666666666667,0.0,0.0,0.0,0.006666666666666667,0.006666666666666667,0.01306666666666667,1.9703508771929823,0.7595737595737596,0.752913752913753,0.7515817515817517
Rest,Stim8hr,pathway,auroc,3,0.022170777312794942,249.0,0.5037998165185479,0.5388538918619905,,0.525521804330172,0.5007035365403825,-0.035054075343442626,0.018683021459485652,,0.2517482517482518,0.6503496503496503,0.28005328005328006
Rest,Stim8hr,pathway,prec@100,3,0.022170777312794942,249.0,0.02,0.02,0.0,0.03666666666666667,0.03666666666666667,-5.782411586589357e-19,0.011316065276116666,0.9020883534136547,0.8581418581418582,0.8844488844488844,0.8774558774558775
Rest,Stim8hr,pathway,prec@25,3,0.022170777312794942,249.0,0.04,0.0,0.0,0.06666666666666667,0.02666666666666667,0.04,0.0,1.8041767068273094,0.5434565434565434,0.5627705627705627,0.5201465201465202
Rest,Stim8hr,pathway,prec@50,3,0.022170777312794942,249.0,0.04,0.0,0.0,0.04,0.04666666666666667,0.04,0.022632130552233332,1.8041767068273094,0.35064935064935066,0.35264735264735264,0.348984348984349
